id	title	duration_seconds
-KKmkwHapSw	Program Launchpad MSP430 like an Arduino with Energia	475.0
0BfdXFP0260	How to build an Arduino robot - code for 4 HC-SR04 ultrasonic sensors	952.0
2myUL_gG4lw	Steelpix Model 35g Profession Floral Stemming Machine -how to load picks and use machine	43.0
2uI4SOKoT08	How to make sure your camera is level for macro photography	51.0
4tOAwJ8Rn9c	How to fix the Arduino Uno Serial Port Problem on Apple Mac Macbook Air	337.0
58qj3-4G6A4	Arduino robot - Soldering hookup wires to the motors on the Tamiya twin motor gearbox	129.0
5H2KpBWMyUk	Arduino Lite Brite Clock Build — Soldering the LED Cathode Rows	1241.0
5M8CppUg8js	How to build an Arduino Lite Brite Clock - Parts needed	415.0
5iWGrYklgxw	First Arduino project - modified Hello World with 3 LED's	589.0
5kgv9SC6Qjg	How to use RGB LED's with the Arduino	923.0
5vpL7xbSmZ0	How to build an Arduino Lite Brite Clock - Preliminary testing and programming	358.0
6ywFIZZM5SA	I bought an Elm Eco Pro 2 Key Card Hack	375.0
7yGAbLp9LnM	How to use the .96" 128x64 OLED display with Arduino - connecting and installing libraries	695.0
854Bzrt2vNc	How to Make a Viral YouTube Video — Interview with ThriftMine's Ryan After His Hit	3299.0
9KdWdqKzVig	How to build an Arduino Lite Brite Clock - the demo	54.0
BJ93XCcD858	How to use a 1602 i2c Serial LCD Display with Arduino	307.0
BsepLU5xlsc	Arduino - Play the Super Mario Bros Theme song and how to use Tone	403.0
DoC0tUXID2E	How to Fix Nintendo Wii Disc Read Errors — Optical Drive Replacement Tutorial	2333.0
Dt6mEEha4sU	How to use Rhyne Floral Pick Machine	90.0
EqWxUT4o8kA	How to use a PIR SENSOR to detect motion	276.0
F0KSzglp20o	How to Upgrade RAM Memory on 2019 iMac 27" Retina - FAST & EASY	323.0
FA5Zzx61LYU	How to whiten eyes in Photoshop CS5 - the easy way	485.0
GHr_ggAv0xw	How to build an Arduino Lite Brite Clock - The colon	755.0
GSyxBGkpDK4	How to remove permanent marker and clean the contacts on old NES games	367.0
I2ms9kRN9TU	How to set punch and dial time on Lathem Mechanical Time Clock	240.0
J209od-7Cxc	Adafruit GFX Library for Arduino — Draw Graphics on OLED + LCD Displays (SSD1306, Nokia 5110)	986.0
Jj2KOFw12Kc	How to connect multiple LCD displays to one Arduino	251.0
KVq9FPZn4NI	How to Build a Programmable LED Jack-o-Lantern with the TI MSP-430 Launchpad + Energia IDE	1450.0
KYGK29j89dw	$15 Amazon Robot Chassis for Arduino	743.0
K_7Xxq4B2rg	TI Launchpad MSP430 installed directly on breadboard - Hello World	449.0
KgqMOPErWjk	How do I use a Real Time Clock with Arduino? RTC 1307	629.0
KidBQaoNjPY	How to build an Arduino Lite Brite Clock - Testing and Frying LEDs	193.0
Kus2liJqhcE	#2 - Arduino Blink Sketch - Elegoo Starter Kit	303.0
M9XBFomX7JI	How to Use a Nokia 5110 LCD with Arduino — $3 84x48 Display + Clock Demo	1689.0
Mt3J9HCa34A	How to Wire a DPDT Power Switch to an Arduino Robot (One Switch for Arduino + Motor Battery)	3078.0
N2Zc_FTrUn8	How to Use a DS3231 Real Time Clock with Arduino — I2C RTC + LCD Display Tutorial	1365.0
NASbN6c69vA	Arduino Lite Brite Clock Build — Wiring the Perfboard (100Ω Anode Resistors + 12 Connections)	1847.0
NIp6GBS81zQ	1987 Pontiac "We Build Excitement" Retro TV Commercial Ad	46.0
OFSk_TZUoow	How to easily cut electrical outlet holes in drywall using Blind Mark XT and a RotoZip-a review	293.0
QRlVQWmIGgM	1602 16x2 LCD Wiring Tutorial: Arduino Uno, MSP430 & Standalone Setup	4063.0
QoiUB_cQEGE	How to use Nintendo Switch Pro Controller with Mac or PC	112.0
SNV_c2XnL2k	How Much Electricity Does a 3D Printer Use?	930.0
ShZQNGtrPEQ	#3 LED's and Resistance - Elegoo Arduino Lesson	371.0
T2Dmp-ae-cI	Arduino Lite Brite Clock Build — Connecting the Arduino to the LED Matrix	1298.0
T50QFlXVYlI	Box Resize to Fit USPS Priority Flat Rate Envelope Shipping Hack	68.0
Tg-i-uZ74xg	How to replace battery in Pokemon Sapphire, Game Boy Advance	838.0
URGjWwuNToE	How to Mount 4 HC-SR04 Ultrasonic Sensors + Serial LCD to an Arduino Robot Chassis (Two-Story Build)	1557.0
UiyOTBGn4_U	How to Arduino #2 — Use a 1602 Character LCD Display (HD44780 Wiring + LiquidCrystal Library)	1000.0
UtvZY1mZXTs	Sony CCD-TRV 138 8mm Hi-8 Handycam Camcorder Demo Video (with Nightshot Mode) How to use	301.0
VS3v4T7TNPE	Sainsmart LCD keypad Arduino shield review	299.0
YHNeLmUJTlQ	How to use a 16x2 LCD Display with Arduino (Parallel interface version)	781.0
YM21_9M5Vc0	How to ship sports cards on EBAY with EBAY STANDARD ENVELOPE	142.0
YOf32PWByS4	How to build an Arduino Lite Brite Clock - how to multiplex LED's	702.0
ZKC0fgAPbK0	#1 - Elegoo Arduino Uno Starter Kit - Installing IDE	471.0
_HbYwOmf308	What Is an Arduino? Beginner's Intro Plus 13 Cool Arduino Projects You Can Build	1249.0
_HsJcCb3DoE	How to build an Arduino Lite Brite Clock - Wiring the LEDs	843.0
aIyZvwsnSDw	How to build an Arduino robot - test code and test run	698.0
bmwnppmdFwY	Arduino random flasher project	31.0
c27GgL06xmw	How to replace screen on an HP Envy dv6 laptop	937.0
cItNXffOOTw	TI-99/4A AV Cable DIY — Build a 5-Pin DIN to Composite Video Adapter (Skip the RF Modulator)	1014.0
cfvpIxDvPZw	Smith Corona SL 575 Electronic Typewriter demo / how to use	285.0
cnOKG0fvZ4w	How to Hack a TowerPro MG995 Servo for 360° Continuous Rotation (Arduino-Compatible Gear Motor)	1766.0
d-akaLUN_-8	ClusterBot, the arduino robot. First run.	134.0
dFWGsB1R8y8	Banggood Arduino UNO Starter Kit and Arduino L298N Robot Kits Arrive! New Series Upcoming	700.0
dL2YPS96L18	Using the TI Launchpad MSP430 as an in system programmer (ISP)	748.0
dVqv3LvJAJY	How to find out the address of your i2c device using Arduino IDE	529.0
drYpq7qxyYs	How to Use the L298N Motor Driver with Arduino — Wiring + PWM Speed Control with a Potentiometer	958.0
eC330Rq3zEw	Finishing the frame of Cluster Bot, an arduino robot	535.0
fPEt0eh4fFE	Arduino Music Breadboard Keyboard project	716.0
f_5PpaHGulQ	Joe's Adventures - Mafia 2 PC Game - DLC - 10. Tutorial HD	214.0
fhnuTr_fQlU	Sony CCD-TRV57 Handycam Camcorder Demo - How to Use	315.0
gpHB_jW_TEc	Windows 7 Speech Recognition tutorial	896.0
h9Qcax97IGY	PANASONIC DMR-ES35V DVD/VCR RECORDER - HOW TO RECORD A DVD	602.0
hJ772uChdsg	Cheap DIY Arduino Robot Chassis — Cardboard Box + Tamiya Twin Motor Gearbox + Zip Ties Build	953.0
hSpKxyrBiUc	How to Boil Crawfish - backyard crawfish boil	144.0
hnjZgY0kv6o	How to record a CD on the Tascam CD-RW900SL CD-R CD-RW Recorder - How to Use	323.0
