id	title	duration_seconds
-3IMPO-Rh2U	Joe's Adventures - Mafia 2 PC Game DLC - 21. A Lesson in Manners HD.wmv	222.0
-578360gWlk	Joe's Adventures - Mafia 2 PC game DLC - 13. Limo Movin' HD	587.0
-J4RZ_pBN3k	1988 Royal Nissan Baton Rouge Retro TV Commercial Ad	30.0
-JRSGCs6NCQ	1987 Diet Coke Penguins Retro TV Commercial Ad	31.0
-KKmkwHapSw	Program Launchpad MSP430 like an Arduino with Energia	475.0
-X9XPg_0Ooo	1987 Dickies Work Clothes Retro TV Commercial Ad	31.0
-jbss00lXIk	Cam Newton is so great that...	157.0
-m-BI9ONGUY	1987 US Armed Forces Diner Retro TV Commercial Ad	31.0
-uItkNa2mEk	Jimmy's Vendetta - Mafia 2 PC Game DLC - 17. I Got the Stones HD.wmv	443.0
-zbemSjGiyg	1988 Jackie Joyner Kersee 7 Up Retro TV Commercial Ad	61.0
00ra97KjYDs	Turtle Talk with Crush at EPCOT	691.0
0BfdXFP0260	How to build an Arduino robot - code for 4 HC-SR04 ultrasonic sensors	952.0
0HkcPfhNoNg	1987 Purolator Oil Filter Retro TV Commercial Ad	31.0
0I3DoP-P9XY	Century Wings SR 71 Blackbird Model Airplane	230.0
0LwL2Vwf2qY	Spin Master Legendary Yoda Interactive Star Wars Figure Demo	112.0
0SK5uP6OBqo	Popup camper setup - Rockwood - at Lake Fausse Point State Park campground	335.0
0_qxQSONfuQ	1987 Milky Way Candy Bar Retro TV Commercial Ad	30.0
0f2GRGhodkM	1988 Dick Van Patten Jiffy Lube TV Commercial Ad	31.0
0iCxsPhtKhI	Joe's Adventures - Mafia 2 PC Game - DLC - 8. The Witness HD.wmv	253.0
0nalibgno5s	No Limit Holdem - 4 table micro stakes at Poker Stars 3/5	591.0
0pEChX9ZwuQ	1987 Campbells Home Cookin Soup Retro TV Commercial Ad	16.0
0sV1v5oQ0B8	1987 Thrifty Car Rental featuring Rich Little Retro TV Commercial Ad	30.0
18h4U-0O_iM	Ed Wusthoff Solingen Germany Rare Folding Hunting Knife Demo	128.0
1Fq20eS8uZ0	1987 Audubon Ford Baton Rouge Retro TV Commercial	32.0
1NOCKQzvJTA	$1450 Eco Pro 2 vs. badly scratched disc	310.0
1SdAAexN3fk	Hallmark Birthday Sound Button Demo - Happy Birthday Novelty Gift	34.0
1Ut6kL7zrrM	1987 McDonalds "Into the Night" Retro TV Commercial Ad	31.0
1YfybUWoc_8	Elenco snap circuits pro 500	233.0
1aAmBTiRRv8	1987 Kodak VR35 Camera Retro TV Commercial Ad	31.0
1gfKEiWJ0LQ	Joe's Adventures Mafia 2 PC Game DLC 29 Bet on That HD	406.0
1njU7erMZyM	1987 BMW 325i Retro TV Commercial	31.0
1sxiE-Dj6j4	1987 Tender Chops Dog Food Retro TV Commercial Ad	30.0
1wdkBnoIXDM	Joe's Adventures - Mafia 2 DLC - 28. Supermarket HD	575.0
1z4exhTmcvk	1987 Pitney Bowes Full Duplex Copier Retro TV Commercial Ad	16.0
20iIdu7WotE	2005 Batman Begins Electronic Tumbler Batmobile Vehicle Demo	40.0
2FvrFc6-e2g	1987 Ocean Spray Pink Grapefruit Juice Cocktail Retro TV Commercial Ad	16.0
2GrusONJVD0	Mafia 2 Jimmy's Vendetta - 4. Shubert Pickup Theft HD	156.0
2ZNjnNqj964	Jimmy's Vendetta - Mafia 2 PC Game DLC - 18. Pass the Potcheen HD.wmv	429.0
2fXu8Bg-3C4	Mr. Christmas Musical Bell Symphonium Music Box Demo with 10 Discs	263.0
2kbRCyDxYe0	Dragon I toys Blue Dragon demo	53.0
2myUL_gG4lw	Steelpix Model 35g Profession Floral Stemming Machine -how to load picks and use machine	43.0
2nLciCYVlcg	1987 Magical Murphy Motorized Rolling Gorilla Vintage Toy Demo	83.0
2sAyqJ4NRzk	1987 Surf Laundry Detergent Retro TV Commercial Ad	31.0
2tGTjfazJxU	Mr Christmas Musical Bell Symposium music box w 10 discs	263.0
2uI4SOKoT08	How to make sure your camera is level for macro photography	51.0
31sQwCAS1D0	1990s Brother Correctronic 360 Electronic Typewriter — One-Button Word Erase	79.0
36lO_bmW4CA	1987 Volvo 740 Turbo Retro TV Commercial Ad	31.0
38BGEXbBJME	Motorola Droid X2 glass screen and digitizer repair - removing the broken screen	775.0
39vh7wF9qns	1987 Isotoner Pantyhose Retro TV Commercial Ad	31.0
3Gm8cvjKECQ	1987 Levis Hyundai Baton Rouge Retro TV Commercial Ad	31.0
3H7jvSos4RM	DC Comics Bombshells Trading Cards Lot - Cryptozoic Walkthrough	207.0
3Ii2wSJv9FU	1988 King Kong Transamerica Retro TV Commercial Ad	31.0
3KnJW4UGNYI	Saks Fifth Avenue Washington D.C. Souvenir Snow Globe Demo	53.0
3M9TF98VYg4	Team Associated RC10 Vintage RC Car Demo - Iconic 1984 Off-Road Buggy	273.0
3bgP9MWmLtU	Ambank 1987 Retro TV Commercial	31.0
3ci4obC1FtA	Microphone quality comparison test - Audio Technica 2100 vs Blue Snowflake vs Logitech C270 Webcam	372.0
3dRoHNTfIt8	$6 Bluetooth receiver - PT-810 review and demo with iPhone and stereo receiver	371.0
3e_kvX7sIGM	1987 Heather Thomas New Generation Baton Rouge Retro TV Commercial Ad	30.0
3fPWVY1tXfU	1987 "For A Man To Wear and A Woman To Borrow" Van Heusen Retro TV Commercial Ad	16.0
3hPukcl8fMk	Royal 1930 Portable Manual Typewriter Demo	435.0
4Irn8Jjxqbk	1987 Polaroid Instant Camera Football Retro TV Commercial Ad	15.0
4JleY7yCdFY	Saks Fifth Avenue Miami Florida Souvenir Snow Globe Demo	55.0
4N4WTJNywfI	1987 Jules Madere Jewelers Baton Rouge Retro TV Commercial	30.0
4XYrK3-abEI	Mr. Christmas Animated Musical Player Piano Demo	62.0
4_NlwwsO4fA	1987 Goudchauxs Maison Blache Baton Rouge Retro TV Commercial Ad	31.0
